"tp","type","n"
"1–2 dpb","Oral swab",129
"1–2 dpb","Skin swab",280
"1–2 dpb","Stool/Anal swab",129
"3 dpb","Oral swab",86
"3 dpb","Skin swab",0
"3 dpb","Stool/Anal swab",86
"7 dpb","Oral swab",78
"7 dpb","Skin swab",0
"7 dpb","Stool/Anal swab",78
"14 dpb","Oral swab",58
"14 dpb","Skin swab",0
"14 dpb","Stool/Anal swab",58
"28 dpb","Oral swab",40
"28 dpb","Skin swab",0
"28 dpb","Stool/Anal swab",40
"Wound healing day","Oral swab",11
"Wound healing day","Skin swab",38
"Wound healing day","Stool/Anal swab",11
"3 mpb","Oral swab",0
"3 mpb","Skin swab",0
"3 mpb","Stool/Anal swab",0
"6 mpb","Oral swab",0
"6 mpb","Skin swab",0
"6 mpb","Stool/Anal swab",0
"12 mpb","Oral swab",0
"12 mpb","Skin swab",0
"12 mpb","Stool/Anal swab",0
"sepsis 1d","Oral swab",3
"sepsis 1d","Skin swab",0
"sepsis 1d","Stool/Anal swab",3
"sepsis 2d","Oral swab",3
"sepsis 2d","Skin swab",0
"sepsis 2d","Stool/Anal swab",3
"sepsis 3d","Oral swab",3
"sepsis 3d","Skin swab",0
"sepsis 3d","Stool/Anal swab",3
